puzzle,solution,iteration,algorithm,steps,time
data/Rushhour6x6_2.csv,0,5,TOL,34,0.00019109999993816018
data/Rushhour6x6_2.csv,0,5,RU,17,0.06565719999889552
data/Rushhour6x6_2.csv,0,5,ALL,17,0.061586399999214336
data/Rushhour6x6_2.csv,1,5,TOL,34,0.00021089999972900841
data/Rushhour6x6_2.csv,1,5,RU,17,0.06765699999959907
data/Rushhour6x6_2.csv,1,5,ALL,17,0.06478179999976419
data/Rushhour6x6_2.csv,2,5,TOL,34,0.00030929999957152177
data/Rushhour6x6_2.csv,2,5,RU,17,0.06538360000013199
data/Rushhour6x6_2.csv,2,5,ALL,17,0.05924099999901955
data/Rushhour6x6_2.csv,0,6,TOL,39,0.00021089999972900841
data/Rushhour6x6_2.csv,0,6,RU,22,0.09671530000014172
data/Rushhour6x6_2.csv,0,6,ALL,22,0.07485369999994873
data/Rushhour6x6_2.csv,1,6,TOL,39,0.0003040000010514632
data/Rushhour6x6_2.csv,1,6,RU,22,0.11926999999923282
data/Rushhour6x6_2.csv,1,6,ALL,22,0.09471519999897282
data/Rushhour6x6_2.csv,2,6,TOL,39,0.00023499999952036887
data/Rushhour6x6_2.csv,2,6,RU,22,0.09717639999871608
data/Rushhour6x6_2.csv,2,6,ALL,22,0.07491870000012568
data/Rushhour6x6_2.csv,0,7,TOL,35,0.00018490000002202578
data/Rushhour6x6_2.csv,0,7,RU,17,0.06418690000100469
data/Rushhour6x6_2.csv,0,7,ALL,17,0.05215950000092562
data/Rushhour6x6_2.csv,1,7,TOL,35,0.00021840000044903718
data/Rushhour6x6_2.csv,1,7,RU,17,0.064417699999467
data/Rushhour6x6_2.csv,1,7,ALL,17,0.05491749999964668
data/Rushhour6x6_2.csv,2,7,TOL,35,0.0002325000004930189
data/Rushhour6x6_2.csv,2,7,RU,17,0.06185960000038904
data/Rushhour6x6_2.csv,2,7,ALL,17,0.0528494000009232
data/Rushhour6x6_2.csv,0,8,TOL,22,0.00014200000077835284
data/Rushhour6x6_2.csv,0,8,RU,16,0.018604099999720347
data/Rushhour6x6_2.csv,0,8,ALL,16,0.017382500000167056
data/Rushhour6x6_2.csv,1,8,TOL,22,0.00017689999913272914
data/Rushhour6x6_2.csv,1,8,RU,16,0.017798599999878206
data/Rushhour6x6_2.csv,1,8,ALL,16,0.01754570000048261
data/Rushhour6x6_2.csv,2,8,TOL,22,0.00029600000016216654
data/Rushhour6x6_2.csv,2,8,RU,16,0.018324199998460244
data/Rushhour6x6_2.csv,2,8,ALL,16,0.02646389999972598
data/Rushhour6x6_2.csv,0,9,TOL,41,0.00021010000091337133
data/Rushhour6x6_2.csv,0,9,RU,22,0.05177739999999176
data/Rushhour6x6_2.csv,0,9,ALL,22,0.053766600000017206
data/Rushhour6x6_2.csv,1,9,TOL,41,0.00023229999897012021
data/Rushhour6x6_2.csv,1,9,RU,22,0.057374399999389425
data/Rushhour6x6_2.csv,1,9,ALL,22,0.05193239999971411
data/Rushhour6x6_2.csv,2,9,TOL,41,0.00046830000064801425
data/Rushhour6x6_2.csv,2,9,RU,22,0.056575999999040505
data/Rushhour6x6_2.csv,2,9,ALL,22,0.05839620000006107
data/Rushhour6x6_3.csv,0,0,TOL,191,0.0024121999995259102
data/Rushhour6x6_3.csv,0,0,RU,36,4.547437700000955
data/Rushhour6x6_3.csv,0,0,ALL,35,1.1228532000004634
data/Rushhour6x6_3.csv,1,0,TOL,191,0.0029589000005216803
data/Rushhour6x6_3.csv,1,0,RU,36,3.964758399999482
data/Rushhour6x6_3.csv,1,0,ALL,35,1.000813599999674
data/Rushhour6x6_3.csv,2,0,TOL,191,0.003583599998819409
data/Rushhour6x6_3.csv,2,0,RU,36,4.337972299999819
data/Rushhour6x6_3.csv,2,0,ALL,35,1.0186202000004414
data/Rushhour6x6_3.csv,0,1,TOL,221,0.0022587000003113644
data/Rushhour6x6_3.csv,0,1,RU,37,3.1868506999999227
data/Rushhour6x6_3.csv,0,1,ALL,37,1.1378836000003503
data/Rushhour6x6_3.csv,1,1,TOL,221,0.0028133999985584524
data/Rushhour6x6_3.csv,1,1,RU,37,3.109443499999543
data/Rushhour6x6_3.csv,1,1,ALL,37,1.0984525000003487
data/Rushhour6x6_3.csv,2,1,TOL,221,0.0024128999993990874
data/Rushhour6x6_3.csv,2,1,RU,37,3.122550799998862
data/Rushhour6x6_3.csv,2,1,ALL,37,1.1226365999991685
data/Rushhour6x6_3.csv,0,2,TOL,192,0.0015380000004370231
data/Rushhour6x6_3.csv,0,2,RU,37,1.8338006000012683
data/Rushhour6x6_3.csv,0,2,ALL,39,1.0573366999997234
data/Rushhour6x6_3.csv,1,2,TOL,192,0.0024396000007982366
data/Rushhour6x6_3.csv,1,2,RU,37,1.802648799999588
data/Rushhour6x6_3.csv,1,2,ALL,39,0.9908854999994219
data/Rushhour6x6_3.csv,2,2,TOL,192,0.0016087999993033009
data/Rushhour6x6_3.csv,2,2,RU,37,2.1699571999997715
data/Rushhour6x6_3.csv,2,2,ALL,39,1.2756422000002203
data/Rushhour6x6_3.csv,0,3,TOL,199,0.0018720999996730825
data/Rushhour6x6_3.csv,0,3,RU,37,2.77652720000151
data/Rushhour6x6_3.csv,0,3,ALL,37,1.2138619999986986
data/Rushhour6x6_3.csv,1,3,TOL,199,0.0018957000011141645
data/Rushhour6x6_3.csv,1,3,RU,37,2.542980099999113
data/Rushhour6x6_3.csv,1,3,ALL,37,1.1909331000006205
data/Rushhour6x6_3.csv,2,3,TOL,199,0.0020743999994010665
data/Rushhour6x6_3.csv,2,3,RU,37,2.5620882000002894
data/Rushhour6x6_3.csv,2,3,ALL,37,1.3164600000000064
data/Rushhour6x6_3.csv,0,4,TOL,268,0.0029915000013716053
data/Rushhour6x6_3.csv,0,4,RU,36,5.1811487000013585
data/Rushhour6x6_3.csv,0,4,ALL,37,1.878138799998851
data/Rushhour6x6_3.csv,1,4,TOL,268,0.003463999999439693
data/Rushhour6x6_3.csv,1,4,RU,36,4.725405299999693
data/Rushhour6x6_3.csv,1,4,ALL,37,1.9157555000001594
data/Rushhour6x6_3.csv,2,4,TOL,268,0.003435900000113179
data/Rushhour6x6_3.csv,2,4,RU,36,4.736330900001121
data/Rushhour6x6_3.csv,2,4,ALL,37,1.84892790000049
data/Rushhour6x6_3.csv,0,5,TOL,306,0.0034998000010091346
data/Rushhour6x6_3.csv,0,5,RU,38,3.9711163000010856
data/Rushhour6x6_3.csv,0,5,ALL,41,2.3068199000008462
data/Rushhour6x6_3.csv,1,5,TOL,306,0.004750699999931385
data/Rushhour6x6_3.csv,1,5,RU,38,4.030148799998642
data/Rushhour6x6_3.csv,1,5,ALL,41,2.3011814999990747
data/Rushhour6x6_3.csv,2,5,TOL,306,0.0032596000000921777
data/Rushhour6x6_3.csv,2,5,RU,38,3.9844038000010187
data/Rushhour6x6_3.csv,2,5,ALL,41,2.2765591999996104
data/Rushhour6x6_3.csv,0,6,TOL,290,0.0035514000010152813
data/Rushhour6x6_3.csv,0,6,RU,38,7.001246000001629
data/Rushhour6x6_3.csv,0,6,ALL,38,3.0342172000000573
data/Rushhour6x6_3.csv,1,6,TOL,290,0.004169300000285148
data/Rushhour6x6_3.csv,1,6,RU,38,7.021490900000572
data/Rushhour6x6_3.csv,1,6,ALL,38,3.049209000000701
data/Rushhour6x6_3.csv,2,6,TOL,290,0.004132900001422968
data/Rushhour6x6_3.csv,2,6,RU,38,7.1840787999990425
data/Rushhour6x6_3.csv,2,6,ALL,38,3.090324300001157
data/Rushhour6x6_3.csv,0,7,TOL,185,0.0017972999994526617
data/Rushhour6x6_3.csv,0,7,RU,39,2.1180397999996785
data/Rushhour6x6_3.csv,0,7,ALL,39,0.9629134000006161
data/Rushhour6x6_3.csv,1,7,TOL,185,0.001992499999687425
data/Rushhour6x6_3.csv,1,7,RU,39,2.1119548000006034
data/Rushhour6x6_3.csv,1,7,ALL,39,0.9138514000005671
data/Rushhour6x6_3.csv,2,7,TOL,185,0.0014792000001762062
data/Rushhour6x6_3.csv,2,7,RU,39,2.075802899998962
data/Rushhour6x6_3.csv,2,7,ALL,39,0.9267077999993489
data/Rushhour6x6_3.csv,0,8,TOL,274,0.0032293999993271427
data/Rushhour6x6_3.csv,0,8,RU,36,5.153492399998868
data/Rushhour6x6_3.csv,0,8,ALL,35,2.155980900000941
data/Rushhour6x6_3.csv,1,8,TOL,274,0.003694299999551731
data/Rushhour6x6_3.csv,1,8,RU,36,5.222558699999354
data/Rushhour6x6_3.csv,1,8,ALL,35,2.155568599999242
data/Rushhour6x6_3.csv,2,8,TOL,274,0.003148400001009577
data/Rushhour6x6_3.csv,2,8,RU,36,5.144782999999734
data/Rushhour6x6_3.csv,2,8,ALL,35,2.1175383999998303
data/Rushhour6x6_3.csv,0,9,TOL,254,0.002532299999074894
data/Rushhour6x6_3.csv,0,9,RU,37,3.9907419999999547
data/Rushhour6x6_3.csv,0,9,ALL,37,1.9847387999998318
data/Rushhour6x6_3.csv,1,9,TOL,254,0.0027616999996098457
data/Rushhour6x6_3.csv,1,9,RU,37,3.99632500000007
data/Rushhour6x6_3.csv,1,9,ALL,37,2.0097840999987966
data/Rushhour6x6_3.csv,2,9,TOL,254,0.00511950000145589
data/Rushhour6x6_3.csv,2,9,RU,37,3.9868754999988596
data/Rushhour6x6_3.csv,2,9,ALL,37,2.0109551000005013
data/Rushhour9x9_4.csv,0,0,TOL,390,0.005298000000038883
data/Rushhour9x9_4.csv,0,0,RU,31,5.944303499998568
data/Rushhour9x9_4.csv,0,0,ALL,31,3.88616809999985
data/Rushhour9x9_4.csv,1,0,TOL,390,0.005078000000139582
data/Rushhour9x9_4.csv,1,0,RU,31,6.0409435000001395
data/Rushhour9x9_4.csv,1,0,ALL,31,3.9778288999987126
data/Rushhour9x9_4.csv,2,0,TOL,390,0.005982099999528145
data/Rushhour9x9_4.csv,2,0,RU,31,6.160634099998788
data/Rushhour9x9_4.csv,2,0,ALL,31,3.88472290000027
data/Rushhour9x9_4.csv,0,1,TOL,599,0.012785000000803848
data/Rushhour9x9_4.csv,0,1,RU,31,15.893072599999869
data/Rushhour9x9_4.csv,0,1,ALL,31,8.855092699999659
data/Rushhour9x9_4.csv,1,1,TOL,599,0.011303100000077393
data/Rushhour9x9_4.csv,1,1,RU,31,15.600368000001254
data/Rushhour9x9_4.csv,1,1,ALL,31,8.370443899999373
data/Rushhour9x9_4.csv,2,1,TOL,599,0.009857799999736017
data/Rushhour9x9_4.csv,2,1,RU,31,16.542715500001577
data/Rushhour9x9_4.csv,2,1,ALL,31,8.451030100000935
data/Rushhour9x9_4.csv,0,2,TOL,425,0.0048920999997790204
data/Rushhour9x9_4.csv,0,2,RU,28,4.150724900000569
data/Rushhour9x9_4.csv,0,2,ALL,29,3.188276400000177
data/Rushhour9x9_4.csv,1,2,TOL,425,0.004751099999339203
data/Rushhour9x9_4.csv,1,2,RU,28,4.158659799999441
data/Rushhour9x9_4.csv,1,2,ALL,29,3.2655802000008407
data/Rushhour9x9_4.csv,2,2,TOL,425,0.005570100000113598
data/Rushhour9x9_4.csv,2,2,RU,28,4.137991600000532
data/Rushhour9x9_4.csv,2,2,ALL,29,3.2426489000008587
data/Rushhour9x9_4.csv,0,3,TOL,444,0.006103299998358125
data/Rushhour9x9_4.csv,0,3,RU,29,10.464997099999891
data/Rushhour9x9_4.csv,0,3,ALL,48,7.512796200000594
data/Rushhour9x9_4.csv,1,3,TOL,444,0.005882800000108546
data/Rushhour9x9_4.csv,1,3,RU,29,10.390498500000831
data/Rushhour9x9_4.csv,1,3,ALL,48,7.45903559999897
data/Rushhour9x9_4.csv,2,3,TOL,444,0.006860799998321454
data/Rushhour9x9_4.csv,2,3,RU,29,10.364415600000939
data/Rushhour9x9_4.csv,2,3,ALL,48,7.402974100001302
data/Rushhour9x9_4.csv,0,4,TOL,285,0.004064099999595783
data/Rushhour9x9_4.csv,0,4,RU,29,4.457522799999424
data/Rushhour9x9_4.csv,0,4,ALL,29,2.8168043000005127
data/Rushhour9x9_4.csv,1,4,TOL,285,0.003311699998448603
data/Rushhour9x9_4.csv,1,4,RU,29,4.692242499999338
data/Rushhour9x9_4.csv,1,4,ALL,29,2.825084100000822
data/Rushhour9x9_4.csv,2,4,TOL,285,0.0031725000008009374
data/Rushhour9x9_4.csv,2,4,RU,29,4.429118300000482
data/Rushhour9x9_4.csv,2,4,ALL,29,2.823638800000481
data/Rushhour9x9_4.csv,0,5,TOL,451,0.02771270000084769
data/Rushhour9x9_4.csv,0,5,RU,29,6.0186470999997255
data/Rushhour9x9_4.csv,0,5,ALL,29,3.8187684000004083
data/Rushhour9x9_4.csv,1,5,TOL,451,0.008629599999039783
data/Rushhour9x9_4.csv,1,5,RU,29,6.04657860000043
data/Rushhour9x9_4.csv,1,5,ALL,29,3.7544102000010753
data/Rushhour9x9_4.csv,2,5,TOL,451,0.01015209999968647
data/Rushhour9x9_4.csv,2,5,RU,29,5.81573280000157
data/Rushhour9x9_4.csv,2,5,ALL,29,3.63797169999998
data/Rushhour9x9_4.csv,0,6,TOL,420,0.00562059999901976
data/Rushhour9x9_4.csv,0,6,RU,33,7.545198799998616
data/Rushhour9x9_4.csv,0,6,ALL,33,4.6675149999991845
data/Rushhour9x9_4.csv,1,6,TOL,420,0.006009700000504381
data/Rushhour9x9_4.csv,1,6,RU,33,7.591719600000943
data/Rushhour9x9_4.csv,1,6,ALL,33,4.588739200000418
data/Rushhour9x9_4.csv,2,6,TOL,420,0.005402099999628263
data/Rushhour9x9_4.csv,2,6,RU,33,7.468969899999138
data/Rushhour9x9_4.csv,2,6,ALL,33,4.601330900000903
data/Rushhour9x9_4.csv,0,7,TOL,605,0.01079599999866332
data/Rushhour9x9_4.csv,0,7,RU,32,14.788424099999247
data/Rushhour9x9_4.csv,0,7,ALL,32,10.54884630000015
data/Rushhour9x9_4.csv,1,7,TOL,605,0.009563399999024114
data/Rushhour9x9_4.csv,1,7,RU,32,16.77779609999925
data/Rushhour9x9_4.csv,1,7,ALL,32,11.557373800000278
data/Rushhour9x9_4.csv,2,7,TOL,605,0.010244799999782117
data/Rushhour9x9_4.csv,2,7,RU,32,14.544014300001436
data/Rushhour9x9_4.csv,2,7,ALL,32,9.314480999999432
data/Rushhour9x9_4.csv,0,8,TOL,179,0.001712299999780953
data/Rushhour9x9_4.csv,0,8,RU,32,1.764153799998894
data/Rushhour9x9_4.csv,0,8,ALL,31,0.9500420000003942
data/Rushhour9x9_4.csv,1,8,TOL,179,0.0017660000012256205
data/Rushhour9x9_4.csv,1,8,RU,32,1.9962968999989243
data/Rushhour9x9_4.csv,1,8,ALL,31,1.0249242000008962
data/Rushhour9x9_4.csv,2,8,TOL,179,0.0019035999994230224
data/Rushhour9x9_4.csv,2,8,RU,32,1.7643372999991698
data/Rushhour9x9_4.csv,2,8,ALL,31,0.9484216000000742
data/Rushhour9x9_4.csv,0,9,TOL,383,0.00524779999977909
data/Rushhour9x9_4.csv,0,9,RU,28,5.918606700000964
data/Rushhour9x9_4.csv,0,9,ALL,27,3.0104561999996804
data/Rushhour9x9_4.csv,1,9,TOL,383,0.005317299999660463
data/Rushhour9x9_4.csv,1,9,RU,28,5.931634599999597
data/Rushhour9x9_4.csv,1,9,ALL,27,2.9783152999989397
data/Rushhour9x9_4.csv,2,9,TOL,383,0.005588300000454183
data/Rushhour9x9_4.csv,2,9,RU,28,5.91527219999989
data/Rushhour9x9_4.csv,2,9,ALL,27,2.993051400000695
data/Rushhour9x9_5.csv,0,0,TOL,359,0.004062799998791888
data/Rushhour9x9_5.csv,0,0,RU,34,4.398155900000347
data/Rushhour9x9_5.csv,0,0,ALL,34,3.6016639999998006
data/Rushhour9x9_5.csv,1,0,TOL,359,0.004723300000478048
data/Rushhour9x9_5.csv,1,0,RU,34,4.479320700000244
data/Rushhour9x9_5.csv,1,0,ALL,34,3.611725499999011
data/Rushhour9x9_5.csv,2,0,TOL,359,0.004692699998486205
data/Rushhour9x9_5.csv,2,0,RU,34,4.393927900000563
data/Rushhour9x9_5.csv,2,0,ALL,34,3.4975927000014053
data/Rushhour9x9_5.csv,0,1,TOL,419,0.004403799999636249
data/Rushhour9x9_5.csv,0,1,RU,28,4.770043299999088
data/Rushhour9x9_5.csv,0,1,ALL,28,4.3107456999987335
data/Rushhour9x9_5.csv,1,1,TOL,419,0.0047725000003993046
data/Rushhour9x9_5.csv,1,1,RU,28,4.710080000000744
data/Rushhour9x9_5.csv,1,1,ALL,28,4.310392999999749
data/Rushhour9x9_5.csv,2,1,TOL,419,0.0044543000003614
data/Rushhour9x9_5.csv,2,1,RU,28,4.850452399999995
data/Rushhour9x9_5.csv,2,1,ALL,28,4.378391100000954
data/Rushhour9x9_5.csv,0,2,TOL,440,0.004823600000236183
data/Rushhour9x9_5.csv,0,2,RU,39,7.3129942000014125
data/Rushhour9x9_5.csv,0,2,ALL,39,6.162238300001263
data/Rushhour9x9_5.csv,1,2,TOL,440,0.004808300000149757
