car,move
U,1
AE,1
D,1
AI,1
D,-1
H,-1
V,-1
Q,1
L,-1
Y,-1
P,1
AD,1
Y,1
AC,1
AJ,-1
AK,-1
N,1
AK,1
AP,-1
Y,-1
T,2
C,1
A,-1
N,2
G,1
T,-1
AP,1
AD,-1
N,-2
H,1
A,1
AQ,1
AD,1
AI,-1
F,-1
AQ,-1
AC,-1
AQ,2
G,-1
AP,-1
N,2
H,-2
AO,1
AQ,-1
AB,1
AO,1
J,2
P,-1
AQ,-1
X,3
